id;broadcaster_id
1;115904756
1;101456693
1;100969851
1;75974647
1;116128609
1;57148236
1;42441267
1;24660818
1;183140912
1;45581447
1;92219995
1;140032134
1;55058328
1;61693610
1;158964522
1;537180223
1;141159627
1;550706392
1;406504746
1;112555188
1;45947197
1;675934775
1;497911900
1;429436657
1;134431041
1;507594398
1;239959473
1;183681290
1;227451482
1;444565312
1;657475992
1;503774806
1;525624213
1;268820494
1;66622232
1;150115881
1;124214107
1;112020363
1;115122941
1;71568075
1;50135480
1;649740202
1;646744527
1;468552615
1;445828340
1;133067001
1;580568389
1;50369646
1;444989597
1;432413347
1;263533667
1;547297132
1;56868444
1;120394581
1;273049099
1;26670841
1;435249049
1;675549701
1;468697176
1;519720009
1;503509914
1;106452528
1;133226753
1;192517905
1;84165218
1;158446650
1;474533406
1;70634389
1;119978494
1;190876846
1;130245829
1;443043687
1;60374304
1;79303500
1;98704863
1;163639301
1;545122805
1;228372077
1;79464877
1;43865032
1;22783448
1;71223639
1;470987998
1;113655813
1;275458965
1;483950481
1;26863708
1;521098341
1;601786349
1;426462953
1;92319696
1;127181079
1;95267609
1;126895371
1;74622701
1;32157270
1;68013906
1;60606502
1;512119680
1;90707921
1;630853592
1;115532269
1;634783967
1;28516754
1;73910429
1;69610098
1;225375116
1;132776821
1;71866497
1;168773513
1;124788677
1;181859384
1;125382564
1;238749833
1;106105901
1;140481518
1;124970235
1;228674112
1;31840191
1;93222834
1;22219627
1;566480662
1;184108438
1;129106560
1;536555804
1;275473782
1;11208211
1;30807673
1;144354230
1;409834796
1;436679756
1;157611968
1;441719253
1;236936406
1;105843555
1;683692478
1;40611248
1;530561595
1;95379964
1;8224461
1;188243251
1;117546111
1;137362078
1;61611438
1;223792994
1;461846425
1;95980701
1;113475023
1;199639955
1;416109457
1;428601662
1;230891509
1;597029577
1;21288103
1;7278788
1;262816119
1;195996736
1;536560421
1;69785480
1;574354537
1;175094154
1;610315306
1;627471880
1;253943797
1;455264410
1;107888690
1;6649932
1;74703394
1;59821643
1;148004001
1;523681556
1;140037156
1;58030858
1;43114086
1;179314553
1;72140827
1;409713626
1;117453868
1;11961115
1;646612529
1;138020827
1;98200474
1;647157533
1;215010379
1;484989686
1;67642521
1;499313314
1;108548743
1;420425761
1;235997276
1;553383898
1;58189051
1;53231783
1;183779101
1;39627910
1;193891681
1;134177549
1;120424553
1;633579303
1;267008430
1;412439812
1;677017627
1;470699745
1;611161775
1;416848364
1;87123274
1;619434193
1;551708297
1;414327179
1;164408256
1;73154614
1;94120298
1;140194259
1;661413160
1;101131853
1;36481346
1;119464728
1;39928499
1;526924672
1;545317596
